	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	QS_AZvv-tYY	예고편에 낚였다.기대했었다 관상 참 재미있게 봤는데.	['예고편', '에', '낚', '였다', '기대했었다', '관상', '참', '재미있게', '봤는데']	3.256810997093728	1.67
1	1	QS_AZvv-tYY	영화소개 프로그램에서 나오는거 보고 재밌겠다 하고 봤는데 영화프로그램에 나온게 액기스 끝이야..<br>영화보다 잠든게 3년만인거 같다.	['영화', '소개', '프로그램', '에서', '나오는거', '보고', '재밌겠다', '하고', '봤는데', '영화', '프로그램', '에', '나온게', '액기스', '끝', '이야', '영화', '보다', '잠든게', '3년', '만인거', '같다']	0.4646417073817513	0.2
2	2	QS_AZvv-tYY	가볍게 보기 좋은 영화라 이거군요	['가볍게', '보기', '좋은', '영화', '라', '이거군요']	0.217130764887002	0.12
3	3	QS_AZvv-tYY	보기가 힘들어서 뒤척이다 잠듬ㅋ	['보기', '가', '힘들어서', '뒤척', '이다', '잠듬']	-1.6949536242991117	-0.95
4	4	QS_AZvv-tYY	절대 보지 말아야 겠군요.. 좋은 감상평 감사합니다.	['절대', '보지', '말아야', '겠군요', '좋은', '감상', '평', '감사합니다']	2.6549611950860017	1.4
5	5	QS_AZvv-tYY	돈 아깝고 시간 아깝고 재미도 없다.	['돈', '아깝고', '시간', '아깝고', '재미', '도', '없다']	-0.02252646140106407	-0.01
6	6	QS_AZvv-tYY	포장을 벗기는 속시원한 리뷰  잘 봤습니다	['포장', '을', '벗기는', '속', '시원', '한', '리뷰', '잘', '봤습니다']	1.6252452731877924	0.83
7	7	QS_AZvv-tYY	보는내내 이승기표정이었습니다.	['보는내내', '이승기', '표정', '이었습니다']	0.6899701668910818	0.43
8	8	QS_AZvv-tYY	딱 봐도 배우 얼굴빨로만 밀어 붙이는 영화네요 리뷰에 나오는 영상 몇 초만봐도 영화가 얼마나 지루한지 알겠네요  이런 영화가 어떻게 역학 3부작이라는 이름으로 관상에 빌붙어서 나올 수 있는지 ㅡㅡ; 관상은 진중하고 무게감이 있는 영화인데 후속편이 뜬금없이 코미디? 갑자기 &quot;지랄하고 자빠졌네~&quot;라는 뿌리깊은 나무 한석규의 대사가 떠오르는 군요	['딱', '봐도', '배우', '얼굴', '빨', '로만', '밀어', '붙이는', '영화', '네', '요', '리뷰', '에', '나오는', '영상', '몇', '초', '만', '봐도', '영화', '가', '얼마나', '지루한지', '알겠네요', '이런', '영화', '가', '어떻게', '역학', '3', '부작', '이라는', '이름', '으로', '관상', '에', '빌붙어서', '나올', '수', '있는지', '관상', '은', '진중하고', '무게', '감', '이', '있는', '영화', '인데', '후속', '편이', '뜬금없이', '코미디', '갑자기', 'quot', '지랄', '하고', '자빠졌네', 'quot', '라는', '뿌리', '깊은', '나무', '한석규', '의', '대사', '가', '떠오르는', '군요']	0.3659832178242983	0.13
9	9	QS_AZvv-tYY	영화가 좀더 개연성?이 있게 만들어졋으면 더 재밋었을텐ㄷ 아쉬운영화에용	['영화', '가', '좀더', '개연', '성', '이', '있게', '만들어', '졋으', '면', '더', '재밋었을텐', '아쉬운', '영화', '에', '용']	0.1191249365038718	0.05
